block,row_type,scheduler_or_effect,pressure_condition,outcome,value,ci_low,ci_high,positive_probability,n_pairs,notes
holdout_seed70_99,paired_effect,random_available_minus_quota_balance_high_minus_normal_delta,all,queue_depth,-1.666667,-5.1,1.633333,0.185,30,
holdout_seed70_99,paired_effect,random_available_minus_quota_balance_normal_to_medium_slope,all,queue_depth,-3.5,-7.416667,0.416667,0.04,30,
holdout_seed70_99,paired_effect,random_available_minus_quota_balance_medium_to_high_slope,all,queue_depth,2.833333,-3.333333,8.25,0.795,30,
holdout_seed70_99,load_normalized,quota_balance_normal_to_high_queue_delta_per_added_created_task,all,load_normalized_queue_depth,1.209774,1.154681,1.249447,1,30,
holdout_seed70_99,load_normalized,random_available_normal_to_high_queue_delta_per_added_created_task,all,load_normalized_queue_depth,1.200961,1.145654,1.25936,1,30,
holdout_seed70_99,paired_effect,random_available_minus_quota_balance_high_minus_normal_delta,all,value_per_completed_task_total,0.106882,-0.057457,0.286432,0.915,30,
holdout_seed70_99,paired_effect,random_available_minus_quota_balance_high_minus_normal_delta,all,value_per_work_event_total,0.083488,-0.053673,0.208697,0.895,30,
holdout_seed70_99,paired_effect,random_available_minus_quota_balance_high_minus_normal_delta,all,attention_capture_pressure_max_final,0.069197,0.021344,0.109437,1,30,
holdout_seed70_99,paired_effect,random_available_minus_quota_balance_high_minus_normal_delta,all,phase_space_turning_point_count,-0.633333,-1.9,0.566667,0.135,30,
holdout_seed70_99,paired_effect,random_available_minus_quota_balance_high_minus_normal_delta,all,phase_space_longest_dwell_steps,1.2,0.166667,2.466667,0.985,30,
